chrom	start	end	har_coord	category	nearest_gene	distance_to_gene
chr1	2920237	2920259	chr1:2920237-2920259	intergenic_proximal	RP5-907A6.1	40399
chr1	3012056	3012516	chr1:3012056-3012516	intergenic_proximal	ACTRT2	8951
chr1	3169939	3170064	chr1:3169939-3170064	intronic	PRDM16	0
chr1	3173190	3173325	chr1:3173190-3173325	intronic	PRDM16	0
chr1	3368816	3368971	chr1:3368816-3368971	intronic	PRDM16	0
chr1	7250645	7250765	chr1:7250645-7250765	intronic	CAMTA1	0
chr1	7591204	7591476	chr1:7591204-7591476	intronic	CAMTA1	0
chr1	7999973	8000320	chr1:7999973-8000320	promoter_proximal	CTA-215D11.6	0
chr1	10528873	10529210	chr1:10528873-10529210	intronic	PEX14	0
chr1	10713034	10713476	chr1:10713034-10713476	intronic	CASZ1	0
chr1	11447876	11448007	chr1:11447876-11448007	intergenic_proximal	MTCYBP45	22056
chr1	19341806	19342441	chr1:19341806-19342441	exonic	CAPZB	0
chr1	19361591	19362161	chr1:19361591-19362161	intronic	CAPZB	0
chr1	20386867	20387046	chr1:20386867-20387046	intronic	LINC01141	0
chr1	23434526	23434621	chr1:23434526-23434621	exonic	ASAP3	0
chr1	25561377	25561394	chr1:25561377-25561394	intronic	LDLRAP1	0
chr1	26983126	26983454	chr1:26983126-26983454	promoter_proximal	RPL32P6	174
chr1	28063974	28064067	chr1:28063974-28064067	intronic	EYA3	0
chr1	30349980	30350125	chr1:30349980-30350125	intergenic_proximal	RP4-591L5.1	59435
chr1	34621803	34622030	chr1:34621803-34622030	intergenic_proximal	RP4-651I17.1	18127
chr1	35747987	35748135	chr1:35747987-35748135	exonic	CLSPN	0
chr1	36864061	36864180	chr1:36864061-36864180	intronic	GRIK3	0
chr1	36927218	36927460	chr1:36927218-36927460	intronic	GRIK3	0
chr1	37979601	37979949	chr1:37979601-37979949	intronic	SF3A3	0
chr1	37988967	37989323	chr1:37988967-37989323	promoter_proximal	SF3A3	0
chr1	38222234	38222584	chr1:38222234-38222584	intergenic_proximal	LINC01343	7429
chr1	38789476	38789645	chr1:38789476-38789645	intronic	RP11-334L9.2	0
chr1	41701149	41701339	chr1:41701149-41701339	intronic	HIVEP3	0
chr1	42813336	42813548	chr1:42813336-42813548	exonic	TMEM269	0
chr1	44019475	44019732	chr1:44019475-44019732	intronic	SLC6A9	0
chr1	44252362	44252762	chr1:44252362-44252762	intronic	ERI3	0
chr1	44274075	44274540	chr1:44274075-44274540	intronic	ERI3	0
chr1	44416189	44416308	chr1:44416189-44416308	intronic	RNF220	0
chr1	44436480	44436755	chr1:44436480-44436755	intronic	RNF220	0
chr1	44631923	44632087	chr1:44631923-44632087	exonic	RNF220	0
chr1	46278109	46278161	chr1:46278109-46278161	exonic	RAD54L	0
chr1	46576103	46576123	chr1:46576103-46576123	exonic	MKNK1	0
chr1	48499475	48499878	chr1:48499475-48499878	promoter_proximal	RP11-329A14.2	1740
chr1	48617088	48617238	chr1:48617088-48617238	intronic	AGBL4	0
chr1	48888083	48888300	chr1:48888083-48888300	intronic	AGBL4	0
chr1	49016279	49016443	chr1:49016279-49016443	intronic	AGBL4	0
chr1	50612458	50612659	chr1:50612458-50612659	intronic	FAF1	0
chr1	50696785	50697211	chr1:50696785-50697211	intronic	FAF1	0
chr1	53327874	53327912	chr1:53327874-53327912	promoter_proximal	LRP8	0
chr1	53526846	53526895	chr1:53526846-53526895	intronic	GLIS1	0
chr1	54259707	54259997	chr1:54259707-54259997	intronic	SSBP3	0
chr1	55738516	55738818	chr1:55738516-55738818	intronic	RP11-90C4.1	0
chr1	56324119	56324137	chr1:56324119-56324137	intronic	RP1-158P9.2	0
chr1	56719267	56719457	chr1:56719267-56719457	exonic	FYB2	0
chr1	57162779	57162857	chr1:57162779-57162857	intronic	DAB1	0
chr1	57181380	57181561	chr1:57181380-57181561	intronic	DAB1	0
chr1	57253781	57254184	chr1:57253781-57254184	intronic	DAB1	0
chr1	57600841	57600943	chr1:57600841-57600943	intronic	DAB1	0
chr1	57603648	57603921	chr1:57603648-57603921	intronic	DAB1	0
chr1	57659253	57659440	chr1:57659253-57659440	intronic	DAB1	0
chr1	57998954	57998968	chr1:57998954-57998968	intronic	DAB1	0
chr1	60175750	60176001	chr1:60175750-60176001	intergenic_proximal	LINC02778	25967
chr1	60983683	60983817	chr1:60983683-60983817	intronic	NFIA	0
chr1	61171951	61172226	chr1:61171951-61172226	intronic	NFIA	0
chr1	61245236	61245436	chr1:61245236-61245436	intronic	NFIA	0
chr1	61297032	61297513	chr1:61297032-61297513	intronic	NFIA	0
chr1	61524109	61524426	chr1:61524109-61524426	intronic	RP11-430G17.4	0
chr1	62918642	62919059	chr1:62918642-62919059	intergenic_proximal	RP4-771M4.2	13161
chr1	62998878	62999868	chr1:62998878-62999868	intronic	LINC01739	0
chr1	63087861	63088118	chr1:63087861-63088118	intergenic_proximal	RP11-5P4.3	8831
chr1	63788714	63789022	chr1:63788714-63789022	promoter_proximal	ROR1	0
chr1	64125015	64125513	chr1:64125015-64125513	intronic	ROR1	0
chr1	64550171	64550467	chr1:64550171-64550467	intronic	CACHD1	0
chr1	65077509	65077635	chr1:65077509-65077635	promoter_proximal	RP4-535B20.2	0
chr1	68692933	68693037	chr1:68692933-68693037	intronic	RP11-520E6.1	0
chr1	69144410	69144517	chr1:69144410-69144517	intronic	LINC01707	0
chr1	69614594	69614727	chr1:69614594-69614727	intronic	LRRC7	0
chr1	70718997	70719587	chr1:70718997-70719587	promoter_proximal	LINC01788	0
chr1	71196931	71197360	chr1:71196931-71197360	intronic	ZRANB2-AS2	0
chr1	71788298	71788577	chr1:71788298-71788577	intronic	NEGR1	0
chr1	72413875	72414201	chr1:72413875-72414201	intronic	RP4-660H19.2	0
chr1	73896041	73896178	chr1:73896041-73896178	intronic	RP11-275A6.1	0
chr1	74068871	74068986	chr1:74068871-74068986	intronic	LRRIQ3	0
chr1	74694585	74694794	chr1:74694585-74694794	intergenic_proximal	RP11-17E13.2	3975
chr1	74911289	74911467	chr1:74911289-74911467	intergenic_proximal	RP11-93N20.1	51847
chr1	76140155	76140176	chr1:76140155-76140176	intronic	ST6GALNAC3	0
chr1	79020600	79020939	chr1:79020600-79020939	intronic	ADGRL4	0
chr1	79193495	79193755	chr1:79193495-79193755	intronic	ADGRL4	0
chr1	79292154	79292274	chr1:79292154-79292274	intergenic_proximal	ADGRL4	10031
chr1	80453418	80453546	chr1:80453418-80453546	promoter_proximal	HNRNPA1P64	1415
