======================================================================
ALIGNMENT STATISTICS SUMMARY
======================================================================

Total HARs analyzed: 3254
Total aligned length: 876143 bp
Total conserved positions: 800200
Total substitutions: 43884
Total gaps: 32059

Average conservation rate: 91.66%
Min conservation: 7.14%
Max conservation: 100.00%

======================================================================
PER-HAR DETAILS
======================================================================

     HAR  Length  Conserved  Substitutions  Gaps Conservation_Rate
   HAR_1      22         22              0     0           100.00%
  HAR_10     442        436              6     0            98.64%
 HAR_100     374        369              5     0            98.66%
HAR_1000     104        101              3     0            97.12%
HAR_1001     170        164              6     0            96.47%
HAR_1002     199        195              4     0            97.99%
HAR_1003     244        237              7     0            97.13%
HAR_1004     640        627             13     0            97.97%
HAR_1005     439        435              4     0            99.09%
HAR_1006     136        131              5     0            96.32%
HAR_1007     549        541              8     0            98.54%
HAR_1008     127        123              4     0            96.85%
HAR_1009     192        183              9     0            95.31%
 HAR_101     502        497              4     1            99.00%
HAR_1010     131        128              3     0            97.71%
HAR_1011     253        247              5     1            97.63%
HAR_1012     455        429             17     9            94.29%
HAR_1013     100         95              5     0            95.00%
HAR_1014      52         48              4     0            92.31%
HAR_1015     625        603             19     3            96.48%
HAR_1016      88         85              3     0            96.59%
HAR_1017     178        174              4     0            97.75%
HAR_1018     117        113              4     0            96.58%
HAR_1019     247        243              4     0            98.38%
 HAR_102     270        263              7     0            97.41%
HAR_1020     184        179              5     0            97.28%
HAR_1021     213        207              6     0            97.18%
HAR_1022     163        158              5     0            96.93%
HAR_1023     241        237              4     0            98.34%
HAR_1024     118        115              3     0            97.46%
HAR_1025     110        103              7     0            93.64%
HAR_1026     284        273             11     0            96.13%
HAR_1027     141        136              5     0            96.45%
HAR_1028     166        159              7     0            95.78%
HAR_1029      65         61              4     0            93.85%
 HAR_103     259        256              3     0            98.84%
HAR_1030     108        103              5     0            95.37%
HAR_1031     392        388              4     0            98.98%
HAR_1032      25         22              3     0            88.00%
HAR_1034     283        273              9     1            96.47%
HAR_1035      73         69              4     0            94.52%
HAR_1036      16         14              2     0            87.50%
HAR_1037     307        299              7     1            97.39%
HAR_1038     150        145              5     0            96.67%
HAR_1039     218        212              6     0            97.25%
 HAR_104     393        388              5     0            98.73%
HAR_1040     297        292              5     0            98.32%
HAR_1041     165        161              4     0            97.58%
HAR_1043     125        122              3     0            97.60%
HAR_1044     398        390              7     1            97.99%
HAR_1045     178        173              4     1            97.19%
HAR_1046     209         47             56   106            22.49%
HAR_1047     471        467              4     0            99.15%
HAR_1048     170        166              4     0            97.65%
HAR_1049     164         29             36    99            17.68%
 HAR_105     244        234              8     2            95.90%
HAR_1051     162        158              4     0            97.53%
HAR_1052     171        167              4     0            97.66%
HAR_1053     161        157              4     0            97.52%
HAR_1054     239        234              5     0            97.91%
HAR_1055     118        114              4     0            96.61%
HAR_1056     217        213              4     0            98.16%
